airline_id	channel	service_status	fare_nature	amount	currency	structured_scope_origin_destination_region	billing_subject_and_journey_basis	booking_deadline	official_url	locator	quote_le_25_mots	page_date_visible	verified_date	yaml_legacy	policies_finder_wiring	assessment
vietnam_airlines	hold	OFFERED	MATRIX	100–550 international; 1000000–2000000 domestic	USD; VND	Zones A–D and weight <=9, 9–16, 16–32kg	per flight sector; pet+crate	At least 24h	https://www.vietnamairlines.com/au/en/travel-information/special-services/traveling-with-pet/avih-charge	Fees → weight 9kg or less → zones A–D	Zone A: USD 100; Zone B: USD 200; Zone C: USD 300; Zone D: USD 350	Effective 2024-06-05	2026-09-10	matching matrix	NON	MATCH; subsequent weight bands reach USD550 and domestic VND2,000,000
vietnam_airlines	cargo	RESTRICTED	SUR_DEVIS			Above 32kg and cargo cases	shipment	Contact cargo	https://www.vietnamairlines.com/au/en/travel-information/special-services/traveling-with-pet/avih-charge	Cargo referral	contact Vietnam Airlines Cargo	Effective 2024-06-05	2026-09-10	quote	NON	MATCH
virgin_atlantic	cabin	NOT_OFFERED	SANS_OBJET			Ordinary pets			https://help.virginatlantic.com/content/dam/HelpCentre/documents/pet-conditions-of-carriage.pdf	Pet conditions of carriage	Pets are carried as cargo	OLD/NO CURRENT PAGE DATE	2026-09-10	denied	NON	Policy direction established; source freshness weak
virgin_atlantic	hold	NOT_OFFERED	SANS_OBJET			Not passenger checked baggage			https://help.virginatlantic.com/content/dam/HelpCentre/documents/pet-conditions-of-carriage.pdf	Pet conditions of carriage	Pets are carried as cargo	OLD/NO CURRENT PAGE DATE	2026-09-10	denied	NON	MATCH
virgin_atlantic	cargo	OFFERED	SUR_DEVIS			Approved cargo agent/route	shipment	Contact cargo agent	https://help.virginatlantic.com/content/dam/HelpCentre/documents/pet-conditions-of-carriage.pdf	Cargo carriage	booked through an approved agent	OLD/NO CURRENT PAGE DATE	2026-09-10	quote	NON	Current exact fare not published; refresh source recommended
virgin_australia	cabin	OFFERED	EXACT	149	AUD	Eligible Australian domestic routes/dates	per pet; per sector	More than 72h via Guest Contact Centre	https://www.virginaustralia.com/au/en/travel-info/specific-travel/pets/pets-in-cabin/	Pets in cabin fee	introductory fee of $149 per pet	NON_VISIBLE	2026-09-10	AUD149 trial	NON	Fare matches; “trial” wording stale after 2026 continuation/expansion
virgin_australia	hold	NOT_OFFERED	SANS_OBJET			Ordinary passenger checked pet			https://www.virginaustralia.com/au/en/travel-info/specific-travel/pets/pets-in-cabin/	Service scope	pets in cabin on eligible flights	NON_VISIBLE	2026-09-10	denied	NON	MATCH
virgin_australia	cargo	RESTRICTED	SUR_DEVIS			Cargo transport where available	shipment	Contact Virgin Australia Cargo	https://www.virginaustralia.com/au/en/travel-info/specific-travel/pets/pets-in-cabin/	Other transport	contact our Cargo team	NON_VISIBLE	2026-09-10	quote	NON	No public exact fare
volotea	cabin	OFFERED	RANGE	39 web/call; 60 airport (page also advertises from39.99)	EUR	Eligible routes	per passenger/service; per leg	NON_TROUVE	https://www.volotea.com/it/tariffe/	Services table	Animale domestico: 39 €	NON_VISIBLE	2026-09-10	from EUR39.99	NON	MATCH broadly
volotea	hold	RESTRICTED	EXACT	60	EUR	Only Italian Continuità Territoriale routes; call centre; <=75kg	per animal; per leg	Call centre; exact deadline not found	https://www.volotea.com/it/tariffe/	Services table, pet in hold	Animale domestico in stiva: 60 €	NON_VISIBLE	2026-09-10	not offered	NON	STALE/WRONG: limited official hold service now published
volotea	cargo	NOT_OFFERED	SANS_OBJET			No separate cargo product established			https://www.volotea.com/it/la-tua-prenotazione/animale-domestico/	Pet service	Viaggia con il tuo animale domestico	NON_VISIBLE	2026-09-10	not offered	NON	MATCH
vueling	cabin	OFFERED	MINIMUM	from50 domestic; from60 international/Canary	EUR	Domestic Spain; international and Canary	per flight/leg	Add during booking; exact deadline not found	https://www.vueling.com/faq/html/ancillary-products.html	Pets ancillary fee	From €50 on domestic flights	NON_VISIBLE	2026-09-10	Fly Light; no fixed price	NON	INCOMPLETE: official FAQ publishes minima
vueling	hold	NOT_OFFERED	SANS_OBJET			All ordinary pets			https://www.vueling.com/en/vueling-services/prepare-your-trip/pets-on-board	Pets on board	Pets can only travel in the cabin	NON_VISIBLE	2026-09-10	denied	NON	MATCH
vueling	cargo	NOT_OFFERED	SANS_OBJET			No cargo pet service			https://www.vueling.com/en/vueling-services/prepare-your-trip/pets-on-board	Pets on board	Pets can only travel in the cabin	NON_VISIBLE	2026-09-10	denied	NON	MATCH
westjet	cabin	OFFERED	RANGE	50–59 within Canada/US; 100–118 outside	CAD; USD	Within Canada/US versus outside	per kennel; per direction	As soon as booked; minimum 48h recommended	https://www.westjet.com/en-bb/flights/fees	Pet fees	Pet in cabin: $50–$59	NON_VISIBLE	2026-09-10	USD/CAD50–118	NON	MATCH
westjet	hold	OFFERED	RANGE	100–118 within Canada/US; 200–236 outside	CAD; USD	Within Canada/US versus outside	per kennel; per direction	As soon as booked; minimum 48h recommended	https://www.westjet.com/en-bb/flights/fees	Pet fees	Checked kennel: $100–$118	NON_VISIBLE	2026-09-10	USD/CAD50–118 same as cabin	NON	STALE/WRONG: hold matrix is double legacy values, outside up to236
westjet	cargo	OFFERED	SUR_DEVIS			WestJet Cargo routes	shipment	Contact WestJet Cargo	https://www.westjet.com/en-bb/flights/fees	Cargo referral	contact WestJet Cargo	NON_VISIBLE	2026-09-10	quote	NON	No public exact cargo fare
wizz_air	cabin	NOT_OFFERED	SANS_OBJET			Ordinary live animals; assistance dogs excepted			https://www.wizzair.com/cms/api/docs/default-source/downloadable-documents/gcc-w6_en_final_010323-clean_6c8388cf-bc51-4942-a584-80934a0c3d83.pdf	General Conditions, animals	We do not carry live animals	Document filename 2023-03-01	2026-09-10	denied	NON	MATCH; seek fresher current conditions when available
wizz_air	hold	NOT_OFFERED	SANS_OBJET			Ordinary live animals			https://www.wizzair.com/cms/api/docs/default-source/downloadable-documents/gcc-w6_en_final_010323-clean_6c8388cf-bc51-4942-a584-80934a0c3d83.pdf	General Conditions, animals	We do not carry live animals	Document filename 2023-03-01	2026-09-10	denied	NON	MATCH
wizz_air	cargo	NOT_OFFERED	SANS_OBJET			Ordinary live animals			https://www.wizzair.com/cms/api/docs/default-source/downloadable-documents/gcc-w6_en_final_010323-clean_6c8388cf-bc51-4942-a584-80934a0c3d83.pdf	General Conditions, animals	We do not carry live animals	Document filename 2023-03-01	2026-09-10	denied	NON	MATCH
