airline_id	channel	service_status	tariff_nature	tariff_value	currency	billing_subject	journey_basis	scope_origin	scope_destination	booking_deadline	official_url	locator	quote_verbatim	page_date_visible	verified_date	old_yaml_fee	old_farelist_rows	policy_tariff_source	finder_price_link	note
klm	fret	CONDITIONNEL	DEVIS	Sur devis	—	envoi cargo	—	—	—	transporteur spécialisé	https://www.klm.com/information/pets/reservation	Cargo alternative	contact a specialised shipper	—	2026-09-10	Quote	4	ABSENTE	NON	Aucun montant public
km_malta	cabine	ACCEPTE	EXACT	85	EUR	contenant	par sens	—	—	≥5 jours ouvrés	https://kmmaltairlines.com/en/travelling-with-pets	Pet in cabin	EUR 85 per way	—	2026-09-10	€85	6	ABSENTE	NON	Non remboursable
km_malta	soute	ACCEPTE	GRILLE	10 administration + 90 (1–10kg), 125 (11–20), 160 (21–32)	EUR	animal+contenant	par sens	—	—	≥5 jours ouvrés	https://kmmaltairlines.com/en/travelling-with-pets	Pet in hold	EUR 10 administration fee	—	2026-09-10	€90–160 + €10	6	ABSENTE	NON	Poids total par contenant
km_malta	fret	CONDITIONNEL	DEVIS	Sur devis	—	envoi cargo	—	—	—	contacter réservations	https://kmmaltairlines.com/en/travelling-with-pets	Cargo/contact	contact our Reservations Office	—	2026-09-10	Quote	6	ABSENTE	NON	Aucun montant public
korean_air	cabine	ACCEPTE	GRILLE	Domestique 30000 KRW; international court/moyen/long 150/225/300 USD-CAD jusqu’à 32kg	KRW|USD|CAD|autres équivalents	contenant	aller simple	distance/zone	distance/zone	réservation préalable	https://www.koreanair.com/contents/footer/others/service-fees?hl=en	Traveling with Pets	USD 150	—	2026-09-10	$150–300	4	ABSENTE	NON	Cabine max 7kg mais tarif groupe ≤32kg publié
korean_air	soute	ACCEPTE	GRILLE	≤32kg mêmes tarifs; 33–45kg domestique 60000 KRW, international 300/450/600 USD-CAD	KRW|USD|CAD|autres équivalents	contenant	aller simple	distance/zone	distance/zone	réservation préalable	https://www.koreanair.com/contents/footer/others/service-fees?hl=en	Traveling with Pets	USD 600	—	2026-09-10	$150–600	4	ABSENTE	NON	Correspondance internationale peut ajouter un supplément
korean_air	fret	CONDITIONNEL	DEVIS	Sur devis	—	envoi cargo	—	—	—	contacter cargo	https://www.koreanair.com/contents/footer/others/service-fees?hl=en	Cargo referral	Korean Air Cargo	—	2026-09-10	Quote	4	ABSENTE	NON	Aucun montant public général
la_compagnie	cabine	ACCEPTE	EXACT	200	EUR	animal+contenant	par trajet	Paris/New York/Milan réseau admissible	réseau admissible	≤48 h; réserver tôt	https://www.lacompagnie.com/en/plan/special-services	Pets	EUR 200 per journey	—	2026-09-10	€200 one-way	3	ABSENTE	NON	Page illustre 400 EUR/500 USD aller-retour; max 4 animaux
la_compagnie	soute	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.lacompagnie.com/en/plan/special-services	Pets	in the cabin only	—	2026-09-10	—	3	ABSENTE	NON	Cabine seulement
la_compagnie	fret	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.lacompagnie.com/en/plan/special-services	Pets	in the cabin only	—	2026-09-10	—	3	ABSENTE	NON	Aucun service cargo animal annoncé
latam	cabine	ACCEPTE	NON_TROUVE	Selon route, taille, service et marché; montant exact non établi	—	animal+contenant	—	marché/route	marché/route	via parcours localisé	https://www.latamairlines.com/us/en/experience/prepare-your-trip/pets-transportation	Prices	cost depends on the route	—	2026-09-10	$45–250	4	ABSENTE	NON	Page dynamique; ancienne fourchette globale non soutenue
latam	soute	ACCEPTE	NON_TROUVE	Selon route, taille, service et marché; montant exact non établi	—	animal+contenant	—	marché/route	marché/route	via parcours localisé	https://www.latamairlines.com/us/en/experience/prepare-your-trip/pets-transportation	Prices	varies by service	—	2026-09-10	$50–300	4	ABSENTE	NON	Ne pas aplatir les marchés
latam	fret	CONDITIONNEL	DEVIS	Sur devis	—	envoi cargo	—	—	—	LATAM Cargo	https://www.latamairlines.com/us/en/experience/prepare-your-trip/pets-transportation	Cargo referral	LATAM Cargo	—	2026-09-10	Quote	4	ABSENTE	NON	Aucun montant public global
lot	cabine	ACCEPTE	BOOKING_ONLY	Prix dans la réservation / Manage My Booking	—	animal+contenant	par trajet selon réservation	marché/route	marché/route	jusqu’à 12 h avant	https://www.lot.com/cn/en/journey/special-services/traveling-with-pets/pet-in-cabin	Charges	shown during booking	—	2026-09-10	€65–100	3	ABSENTE	NON	Une page locale publie des prix de départ; ne pas généraliser
lot	soute	ACCEPTE	BOOKING_ONLY	Prix dans la réservation / Manage My Booking	—	animal+contenant	par trajet selon réservation	marché/route	marché/route	jusqu’à 12 h avant	https://www.lot.com/us/en/journey/special-services/traveling-with-pets	Pet in hold	Manage My Booking	—	2026-09-10	€150–290	3	ABSENTE	NON	Ancienne fourchette non corroborée comme tarif courant global
lot	fret	CONDITIONNEL	DEVIS	Sur devis	—	envoi cargo	—	—	—	LOT Cargo	https://www.lot.com/us/en/journey/special-services/traveling-with-pets	Cargo referral	LOT Cargo	—	2026-09-10	Quote	3	ABSENTE	NON	Aucun montant public général
lufthansa	cabine	ACCEPTE	CALCULATOR	Prix selon route et contenant	MULTI	contenant	par direction sur connexion Lufthansa	aéroport départ	destination	≥72 h	https://www.lufthansa.com/de/en/animals-as-additional-carry-on-baggage	Costs	calculated according to route	—	2026-09-10	By route	4	ABSENTE	NON	Utiliser le calculateur officiel; table statique locale possiblement ancienne
lufthansa	soute	ACCEPTE	CALCULATOR	Prix selon route/taille + transit 150 EUR/170 CHF/170 USD/220 CAD; nuitée ZRH 200 CHF	EUR|CHF|USD|CAD	animal+contenant	par direction sur connexion Lufthansa	aéroport départ	destination via hubs	≥72 h	https://www.lufthansa.com/de/en/animals-as-additional-baggage	Costs and transfer surcharge	additional transfer surcharge	—	2026-09-10	By route	4	ABSENTE	NON	Suppléments exacts; prix de base au calculateur
lufthansa	fret	CONDITIONNEL	DEVIS	Sur devis	—	envoi cargo	—	—	—	Lufthansa Cargo	https://www.lufthansa.com/de/en/animals-as-additional-baggage	Cargo referral	Lufthansa Cargo	—	2026-09-10	Quote	4	ABSENTE	NON	Aucun montant public général
